Order/Family	Genus/Species	Common Name	Wild	Capt.	M/F	Reference
 	Herpestes javanicus	Javan mongoose (+)	 	8.0	x	[100]
 	Herpestes sanguineus	Slender mongoose	 	6.0	x	[100]
 	Ichneumia albicauda	White-tailed mongoose (+)	 	12.0	x	[100]
 	Ichneumia albicauda	White-tailed mongoose (+)	 	10.0	x	[143]
 	Mungos mungo	Banded mongoose	 	12.0	x	[322]
 	Mungos mungo	Banded mongoose	 	11.0	x	[100]
 	Nandinia binotata	African palm civet	 	15.8	x	[143]
 	Nandinia binotata	African palm civet (+)	 	15.0	x	[100]
 	Paguma larvata	Masked palm civet	 	15.4	x	[176] [207]
 	Paguma larvata	Masked palm civet	 	15.0	x	[192]
 	Paguma larvata	Masked palm civet	18.0	 	x	[100]
 	Paradoxurus hermaphroditus	Common palm civet (+)	22.0	 	x	[100]
 	Paradoxurus hermaphroditus	Common palm civet	 	22.4	x	[207]
 	Poiana richardsoni	African linsang	 	5.3	x	[143]
 	Poiana richardsoni	African linsang (+)	 	5.0	x	[100]
 	Prionodon linsang	Banded linsang (+)	 	10.0	x	[100]
